assessment_id,vehicle_make,vehicle make,vehicle_model,vehicle model,model_code,model code,part/service,category_id,category,part or service,service_provider,part_condition,part condition,part_type,part type,quantity,fix_type,fix type,damage_id,damage,estimated_repair_days,for_painting,paint_type,paint type,panels_to_paint,unit_price (vat incl. 16%),date
56,24,Honda,246,CR-V,5346,DBA-RM4,1683,1,Body,Boot Catch Panel,44,2,-,-,-,1,1,replace,1,Scratched,4,no,-,-,,,10/23/2023 8:36
56,24,Honda,246,CR-V,5346,DBA-RM4,1311,1,Body,LHR Wheel Arch Moulding,44,1,used,1,Dealer/OEM,1,0,repair,11,Broken,4,no,-,-,,9280,10/23/2023 8:36
56,24,Honda,246,CR-V,5346,DBA-RM4,48,1,Body,LHS Rear Wing,44,2,-,-,-,1,1,replace,1,Scratched,4,yes,1,Metallic,4,,10/23/2023 8:36
56,24,Honda,246,CR-V,5346,DBA-RM4,99,1,Body,Tailgate Assembly,81,1,used,1,Dealer/OEM,1,0,repair,4,Buckled,4,yes,1,Metallic,4,139200,10/23/2023 8:36
56,24,Honda,246,CR-V,5346,DBA-RM4,1151,1,Body,Tailgate Shocks,44,1,used,1,Dealer/OEM,1,0,repair,9,Bent,4,no,-,-,,5800,10/23/2023 8:36
56,24,Honda,246,CR-V,5346,DBA-RM4,700,3,Electrical,LHS Tail Light,44,1,used,1,Dealer/OEM,1,0,repair,7,Cracked,4,no,-,-,,29000,10/23/2023 8:36
56,24,Honda,246,CR-V,5346,DBA-RM4,1347,8,Services,Body Jack,44,2,-,-,-,1,-,-,-,-,4,no,-,-,,5000,10/23/2023 8:36
56,24,Honda,246,CR-V,5346,DBA-RM4,902,8,Services,Labour Charges,44,2,-,-,-,1,-,-,-,-,4,no,-,-,,12000,10/23/2023 8:36
56,24,Honda,246,CR-V,5346,DBA-RM4,903,8,Services,Painting Per Panel,44,2,-,-,-,1,-,-,-,-,4,no,-,-,,6000,10/23/2023 8:36
56,24,Honda,246,CR-V,5346,DBA-RM4,1961,1,Body,LHS Tail Light Upper,29,1,used,1,Dealer/OEM,1,0,repair,7,Cracked,4,no,-,-,,9280,10/23/2023 8:36
56,24,Honda,246,CR-V,5346,DBA-RM4,82,1,Body,Rear Bumper,37,1,used,1,Dealer/OEM,1,0,repair,7,Cracked,4,yes,1,Metallic,4,40600,10/23/2023 8:36
56,24,Honda,246,CR-V,5346,DBA-RM4,30,1,Body,Front Bumper,44,2,-,-,-,1,1,replace,1,Scratched,4,yes,1,Metallic,4,,10/23/2023 8:36
56,24,Honda,246,CR-V,5346,DBA-RM4,1063,1,Body,LHS Fog Light Cover,44,1,used,1,Dealer/OEM,1,0,repair,2,Torn,4,no,-,-,,7540,10/23/2023 8:36
56,24,Honda,246,CR-V,5346,DBA-RM4,1029,8,Services,2k Primer,44,2,-,-,-,1,-,-,-,-,4,no,-,-,,2000,10/23/2023 8:36
56,24,Honda,246,CR-V,5346,DBA-RM4,1010,8,Services,Miscellaneous,44,2,-,-,-,1,-,-,-,-,4,no,-,-,,2500,10/23/2023 8:36
87,24,Honda,294,Odyssey,3069,DBA-CR1,27,1,Body,Dust Collector,214,1,used,1,Dealer/OEM,1,0,repair,19,Crushed,5,no,-,-,,4000,11/16/2023 6:48
87,24,Honda,294,Odyssey,3069,DBA-CR1,30,1,Body,Front Bumper,214,2,-,-,-,1,1,replace,1,Scratched,5,yes,1,Metallic,4,,11/16/2023 6:48
87,24,Honda,294,Odyssey,3069,DBA-CR1,46,1,Body,LHS Front Wing,214,2,-,-,-,1,1,replace,1,Scratched,5,yes,1,Metallic,4,,11/16/2023 6:48
87,24,Honda,294,Odyssey,3069,DBA-CR1,52,1,Body,LHS Front Wing Liner,214,1,used,1,Dealer/OEM,1,0,repair,8,Ripped off,5,no,-,-,,5000,11/16/2023 6:48
87,24,Honda,294,Odyssey,3069,DBA-CR1,68,1,Body,LHS Side Mirror With Blinker,214,1,used,1,Dealer/OEM,1,0,repair,11,Broken,5,no,-,-,,18000,11/16/2023 6:48
87,24,Honda,294,Odyssey,3069,DBA-CR1,135,1,Body,LHS Rear Door,214,2,-,-,-,1,1,replace,1,Scratched,5,yes,1,Metallic,4,,11/16/2023 6:48
87,24,Honda,294,Odyssey,3069,DBA-CR1,136,1,Body,LHS Rear Sliding Door,214,2,-,-,-,1,1,replace,1,Scratched,5,yes,1,Metallic,4,,11/16/2023 6:48
87,24,Honda,294,Odyssey,3069,DBA-CR1,1593,6,Wheels,LHF Tyre,214,0,new,1,Dealer/OEM,1,0,repair,2,Torn,5,no,-,-,,12000,11/16/2023 6:48
87,24,Honda,294,Odyssey,3069,DBA-CR1,1029,8,Services,2k Primer,214,2,-,-,-,1,-,-,-,-,5,no,-,-,,2000,11/16/2023 6:48
87,24,Honda,294,Odyssey,3069,DBA-CR1,1010,8,Services,Miscellaneous,214,2,-,-,-,1,-,-,-,-,5,no,-,-,,2000,11/16/2023 6:48
87,24,Honda,294,Odyssey,3069,DBA-CR1,902,8,Services,Labour Charges,214,2,-,-,-,1,-,-,-,-,5,no,-,-,,12000,11/16/2023 6:48
87,24,Honda,294,Odyssey,3069,DBA-CR1,903,8,Services,Painting Per Panel,214,2,-,-,-,1,-,-,-,-,5,no,-,-,,6000,11/16/2023 6:48
125,24,Honda,246,CR-V,2801,DBA-RE4,82,1,Body,Rear Bumper,214,2,-,-,-,1,1,replace,3,Dented,3,yes,1,Metallic,3,,12/5/2023 13:58
125,24,Honda,246,CR-V,2801,DBA-RE4,49,1,Body,RHS Rear Wing,214,2,-,-,-,1,1,replace,3,Dented,3,yes,1,Metallic,3,,12/5/2023 13:58
125,24,Honda,246,CR-V,2801,DBA-RE4,99,1,Body,Tailgate Assembly,37,1,used,1,Dealer/OEM,1,0,repair,19,Crushed,3,yes,1,Metallic,3,75400,12/5/2023 13:58
